,test_loss,test_accuracy,execution_time (minutes)
SVC,3.278120184899846,54.00616332819723,0.7601831316947937
Random Forest,4.02542372881356,47.68875192604006,0.8161973039309184
AdaBoost,8.153697996918336,16.87211093990755,2.651219137509664
Logistic Regression,3.3640215716486903,52.889060092449924,0.032158140341440836
K-Nearest Neighbors,5.012711864406779,41.294298921417564,0.008977409203847249
Decision Tree,5.632511556240369,34.707241910631744,0.1399975339571635
Gaussian Naive Bayes,12.025808936825886,10.670261941448382,0.005023245016733805
Linear Discriminant Analysis,3.2484591679506933,54.16024653312789,0.03130915562311808
